rcl_codigo,rcl_nivel,rcl_subnivel,articulo,cantidad
RCL125-C001,2,1,7060013,1
RCL125-C001,3,1,7060044,2
RCL125-C001,3,1,7060053,116
RCL125-C001,3,1,7550608,124
RCL125-C001,3,1,7060059,6
RCL125-C001,4,1,7550640,21
RCL125-C001,4,1,7550660,22
RCL125-C001,4,1,7060015,2
RCL125-C001,4,1,6032810,43
RCL125-C002,2,1,7550648,57
RCL125-C002,2,1,7550655,3
RCL125-C002,2,1,7550669,10
RCL125-C002,2,1,7550664,165
RCL125-C002,3,1,7060055,82
RCL125-C002,3,1,7060062,6
RCL125-C002,3,1,7060047,92
RCL125-C002,4,1,7060043,2
RCL125-C002,4,1,7550633,16
RCL125-C002,4,1,7060020,1
RCL125-C002,4,1,7550622,3
RCL125-C002,4,1,7060034,6
RCL125-C002,4,1,7550658,17
RCL125-C002,5,1,6036803,38
RCL125-C003,2,1,7550615,68
RCL125-C003,2,1,7060042,10
RCL125-C003,3,1,7060056,54
RCL125-C003,3,1,7060033,59
RCL125-C003,3,1,7550603,434
RCL125-C003,4,1,7550642,21
RCL125-C003,4,1,6020438,89
RCL125-C003,5,1,6032662,35
RCL125-C004,1,1,6020400,10
RCL125-C004,2,1,7550666,37
RCL125-C004,2,1,6032624,84
RCL125-C004,3,1,6032006,44
RCL125-C004,3,1,6032622,28
RCL125-C004,4,1,7550665,37
RCL125-C004,4,1,6020400,61
RCL125-C004,5,1,5120441,71
RCL126-C002,1,1,5500154,29
RCL126-C002,2,1,5502629,64
RCL126-C002,2,1,3525082,66
RCL126-C003,1,1,5502627,84
RCL126-C003,2,1,5502158,23
RCL126-C003,2,1,5240418,103
RCL126-C003,5,1,3525015,49
RCL126-C004,1,1,3265025,60
RCL126-C004,1,1,5998026,25
RCL126-C004,1,1,5998033,25
RCL126-C004,1,1,3265027,59
RCL126-C004,1,1,5998032,25
RCL126-C004,1,1,3265026,23
RCL126-C004,2,1,6100667,74
RCL126-C004,2,1,6100668,16
RCL126-C004,2,1,6101444,6
RCL126-C004,2,1,6100165,46
RCL126-C004,2,1,6100418,56
RCL127-C001,1,1,6101520,40
RCL127-C001,2,1,5500161,43
RCL127-C001,3,1,5500208,17
RCL127-C002,3,1,3525004,154
RCL127-C003,1,1,6101231,20
RCL127-C003,2,1,3525007,108
RCL127-C003,5,1,5502189,31
RCL127-C003,5,1,61003016,26
RCL127-C004,1,1,92110223,390
RCL127-C004,2,1,5502282,21
RCL127-C004,3,1,5502159,3
RCL127-C004,3,1,61001095,78
RCL127-C004,5,1,5998030,18
RCL128-C001,1,1,5500067,46
RCL128-C001,4,1,6032003,37
RCL129-C001,1,1,7040015,54
RCL129-C001,1,1,7040013,97
RCL129-C001,2,1,7040012,98
RCL129-C001,2,1,7040008,22
RCL129-C001,3,1,7041021,13
RCL129-C001,4,1,7040001,74
RCL129-C001,4,1,7040003,659
RCL129-C001,5,1,7040002,110
RCL130-C001,1,1,7040014,100
RCL130-C001,1,1,7040000,71
RCL130-C001,1,1,7041024,11
RCL130-C001,1,1,6101504,160
RCL130-C001,1,1,6100688,10
RCL130-C001,3,1,7001502,1
RCL130-C001,3,1,7001508,7
RCL130-C001,3,1,7503503,6
RCL130-C001,5,1,7040011,259
RCL130-C001,5,1,500088,14
RCL131-C001,1,1,6104566,304
RCL131-C001,1,1,3525168,53
RCL131-C001,2,1,6101057,380
RCL131-C001,3,1,3525061,2
RCL131-C001,3,1,5120603,9
RCL131-C001,4,1,5502101,15
RCL131-C001,4,1,6104588,130
RCL131-C001,4,1,6100129,92
RCL131-C001,4,1,5501125,186
RCL131-C001,5,1,6100129,1
RCL131-C002,1,1,61002018,27
RCL131-C002,1,1,6100166,152
RCL131-C002,1,1,6104580,75
RCL131-C002,2,1,5500408,5
RCL131-C002,2,1,6101230,22
RCL131-C002,2,1,5501130,32
RCL131-C002,3,1,3040524,10
RCL131-C002,3,1,6104576,17
RCL131-C002,4,1,61003012,97
RCL131-C002,4,1,5501136,196
RCL131-C002,5,1,3525203,45
RCL131-C002,5,1,6101522,125
RCL131-C003,1,1,5500171,8
RCL131-C003,1,1,6101518,175
RCL131-C003,2,1,6101058,30
RCL131-C003,3,1,6100669,12
RCL131-C003,4,1,5035116,4
RCL131-C003,4,1,6101521,99
RCL131-C003,4,1,6101511,74
RCL131-C003,4,1,6100720,24
RCL131-C003,4,1,6100130,413
RCL131-C003,5,1,5500404,23
RCL131-C004,1,1,6104569,20
RCL131-C004,1,1,5502183,40
RCL131-C004,2,1,6101512,59
RCL131-C004,2,1,5502185,6
RCL131-C004,2,1,61001651,558
RCL131-C004,2,1,3525129,18
RCL131-C004,3,1,61001096,27
RCL131-C004,3,1,6100261,29
RCL131-C004,3,1,5502190,31
RCL131-C004,3,1,5501132,27
RCL131-C004,4,1,5502632,18
RCL131-C004,4,1,5502634,12
RCL131-C004,4,1,5502635,10
RCL131-C004,4,1,5502638,14
RCL131-C004,4,1,5502614,20
RCL131-C004,4,1,5003461,10
RCL132-C001,1,1,5502623,10
RCL132-C001,2,1,5003460,20
RCL132-C001,2,1,3525453,36
RCL132-C001,3,1,5003462,7
RCL132-C001,3,1,6101200,84
RCL132-C001,4,1,6104570,803
RCL132-C001,4,1,5501126,1
RCL132-C002,1,1,5502622,36
RCL132-C002,2,1,5500207,15
RCL132-C002,3,1,3525093,82
RCL132-C002,4,1,6100127,87
RCL132-C003,1,1,5502280,16
RCL132-C003,1,1,5998002,100
RCL132-C003,1,1,5502179,4
RCL132-C003,1,1,5502170,1
RCL132-C003,1,1,5502180,19
RCL132-C003,5,1,5998025,4
RCL132-C003,5,1,6104579,127
RCL132-C004,1,1,5998035,80
RCL132-C004,1,1,5502617,62
RCL132-C004,1,1,6104583,45
RCL132-C004,2,1,61001811,132
RCL132-C004,2,1,61001815,74
RCL132-C004,2,1,61001813,30
RCL132-C004,2,1,6101519,56
RCL132-C004,2,1,61001097,7
RCL132-C004,2,1,6100162,36
RCL132-C004,3,1,0004420,16
RCL132-C004,3,1,61001814,4
RCL132-C004,3,1,5502624,18
RCL132-C004,3,1,5502168,64
RCL132-C004,4,1,5502636,11
RCL132-C004,4,1,5502637,23
RCL132-C004,4,1,6100128,42
RCL132-C004,4,1,5502633,14
RCL132-C004,4,1,5502631,6
RCL132-C004,4,1,5502630,8
RCL132-C004,4,1,6100360,2
RCL132-C004,4,1,5502626,35
RCL132-C004,4,1,5502607,7
RCL132-C004,5,1,6104584,70
RCL133-C001,3,1,7550402,2
RCL133-C001,5,1,500159,129
RCL133-C001,5,1,7550083,14
RCL133-C001,5,1,500119,34
RCL133-C003,5,1,7503505,30
RCL134-C001,1,1,7503101,289
RCL134-C001,1,1,500169,16
RCL133-C001,1,1,7503514,38
RCL134-C001,1,1,500118,201
RCL134-C001,2,1,500112,233
RCL134-C001,2,1,7503149,46
RCL134-C001,2,1,500157,50
RCL134-C001,2,1,500089,13
RCL134-C001,3,1,7503402,3
RCL134-C001,3,1,7503009,1
RCL134-C001,3,1,7503602,13
RCL134-C001,3,1,7503502,140
RCL134-C001,3,1,7503065,5
RCL134-C001,3,1,500193,22
RCL134-C001,3,1,7550809,78
RCL134-C001,3,1,500176,3
RCL134-C001,3,1,500199,11
RCL134-C001,4,1,500302,6
RCL134-C001,4,1,500109,207
RCL134-C001,4,1,500307,22
RCL134-C001,4,1,5001432,220
RCL134-C001,5,1,7507262,66
